\\QUEST
#QuestItemsBug.NAME Bug
#QuestItemsBug Bug
#QuestItemsOrb.NAME Eye of Hartualon
#QuestItemsOrb Eye of Hartualon
#QuestItemsFlask.NAME Flask with water
#QuestItemsFlask Flask with water
#QuestItemsVint.NAME Screw
#QuestItemsVint Screw
#QuestItemsKey.NAME Key
#QuestItemsKey Key
#Key1.NAME Key
#Key1 Key
#Key2.NAME Key
#Key2 Key
#QuestItemsEgg.NAME Dragon egg
#QuestItemsEgg Dragon egg
#Key3.NAME Key
#Key3 Key
#Pearl1.NAME Gem of mechanics
#Pearl1 Gem of mechanics
#Pearl2.NAME Gem of coldness
#Pearl2 Gem of coldness
#Pearl3.NAME Gem of Sun
#Pearl3 Gem of Sun
#Pearl4.NAME Gem of death
#Pearl4 Gem of death

\\Headwear (8)
#Relic_Weapon 8th level weapon - won't find better than this

\\ Scrolls
\\ Items
\\ 100
#SVHelm4.NAME Scroll>Eagle Helmet<\_________________\Components:\Steel Helmet\Gold Ring\Silver Ring\This scroll
#SVHelm4 
#SVHelm5.NAME Scroll>Snake Hoop<\_________________/{Essemblies:\Hunter's Hat/ Obedience Ring x2\This scroll
#SVHelm5 
#SVHelm7.NAME Scroll>Crown of Sorrow<\_________________\Essemblies:\Snake hoop/ Ring of magic\This scroll
#SVHelm7 
#SVArmor6.NAME Scroll>Armor of Bjorn<\_________________\Essemblies:\Elven Ring of Fortune x3\This scroll
#SVArmor6 
#SVArmor7.NAME Scroll\>Live Armor<\_________________\Assemblies:\Leather Jacket\His regeneration x4\This scroll
#SVArmor7 
#SVBelt4.NAME Scroll>Black Legion Belt<\_________________\Assemblies:\Leather belt\Defense ring\This scroll
#SVBelt4 
#SVBelt5.NAME Scroll>Stamina Belt<\_________________\Instruments:\leather belt/regeneration ring\this scroll
#SVCloak5 
#SVCloak6.NAME Scroll\>Great Rains Cloak<\_________________\Components:\The Necromancer's Cloak\the Magic Ring\This scroll
#SVCloak6 
#SVBoots4.NAME Scroll\>Cheetah skin boots<\_________________\Components:\Traveler's Boots<Luck Ring\This scroll
#SVBoots4 
#SVBoots5.NAME Scroll\>Druid Boots<\_________________\Components:\Wizard's Ring\Orc boots\This scroll
#SVBoots5 
#SVGloves4.NAME Scroll\>Bear Power Gauntlets<\_________________\Components:\Leather gauntlets\Warrior Ring\This scroll
#SVGloves4 
#SVGloves5.NAME Scroll\>Gloves of the Alchemist<\_________________\Components:\Laten gauntlets\Wizard's Ring\This scroll
#SVGloves5 
#SVArmor5.NAME Scroll\>Wizard's Cloak<\_________________\Components:\Druid's toga/Mage Ring\This scroll
#SVArmor5 

\\ 200
#SVBelt7.NAME Scroll\>Crystal Lake Belt<\_________________\Components:\Bone Belt\Mage Ring\Silver Ring  х2\This scroll
#SVBelt7 
#SVRing15.NAME Scroll\>Ring of Protection<\_________________\Components:\Stone ring\This scroll
#SVRing15 
#SVGloves6.NAME Scroll\>Gloves of the Hammerman<\_________________\Components:\Bear Power Gauntlets х2\Laten gauntlets (х2)\This scroll
#SVGloves6 
#SVRing14.NAME Scroll\>Wizard's Ring<\_________________\Components:\Dead Man's Ring\This scroll
#SVRing14 
#SVRing17.NAME Scroll\>Mage Ring<\_________________\Components:\
acolyte ring\This scroll
#SVRing17 
#SVBracelet10.NAME Scroll\>Wizard's Bracelet<\_________________\Components:\Shaman's Bracelet\This scroll
#SVBracelet10 

\\ 400-500
#SVArmor4.NAME Scroll\>Elven chainmail<\_________________\Components:\The chainmail\This scroll
#SVArmor4 
#SVRing25.NAME Scroll\>Archer Master Ring<\_________________\Components:\Troll Ring\Stone Ring\This scroll
#SVRing25 
#SVRing29.NAME Scroll\>Ring of Strength<\_________________\Components:\Warrior Ring х2\This scroll
#SVRing29 
#SVBelt6.NAME Scroll\>Snake belt<\_________________\Components:\Pathfinder's Belt х2\Wanderer's Ring\This scroll
#SVBelt6 
#SVCloak4.NAME Scroll\>Cloak of the Necromancer <\_________________\Components:\Acolyte Cloak\This scroll
#SVCloak4 
#SVBoots8.NAME Scroll\>Irneate Sandals<\_________________\Components:\Druid Boots\Mage Ring х2\This scroll
#SVBoots8 "Spell Power +10%" parameter increases the spell power gain of all items and levels worn
#SVRing26.NAME Scroll\>Martial Sorcerer Ring<\_________________\Components:\Wizard's Ring х2\This scroll
#SVRing26 
#SVRing27.NAME Scroll\>Magic Ring<\_________________\Components:\Mage Ring х2\This scroll
#SVRing27 


\\ 800
#SVGloves8.NAME Scroll\>Dragon gauntlets<\_________________\Components:\Gloves of an archer х2\Dragon ring 700\This scroll
#SVGloves8 
#SVBracelet15.NAME Scroll\>White Tower Bracelet<\_________________\Components:\An enchanted bracelet х2\This scroll
#SVBracelet15 
#SVBracelet16.NAME Scroll\>Unicorn Bracelet<\_________________\Components:\White Tower Bracelet\Wind Power Ring\This scroll
#SVBracelet16 Increases the movement speed of allies (by 8%) and defense against magic (by 2) in a range of 600. Aura effect does not stack. Does not stack with the aura of the wind power ring.

\\ 1000-1200
#SVHelm6.NAME Scroll\>>Dragon Helmet<\_________________\Components:\Orc helmet\Dragon ring
#SVHelm6 
#SVBoots6.NAME Scroll\>Dragon Boots<\_________________\Components:\Heavy Boots\Dragon ring\This scroll
#SVBoots6 
#SVBracelet11.NAME Scroll\>Cold Flame Bracelet<\_________________\Components:\Bracer of Protection\Lightning Bracelet\
Acolyte Ring (2х)\This scroll
#SVBracelet11 

\\ 2000
#SVMedalion6c.NAME Scroll\>Precision Star<\_________________\Components:\"Star" Medallion\This scroll
#SVMedalion6c Opponents within a radius of 1200 can't dodge, and you and your allies can't miss.
#SVCloak8.NAME Scroll\>The Invisibility Cloak<\_________________\Components:\Acolyte Cloak\Magic ring\Invisibility spell\This scroll
#SVCloak8 Gives a permanent invisibility effect. The Anti-Magic spell dispels invisibility.
#SVGloves7.NAME Scroll\>The Spider's Gloves<\_________________\Components:\Gloves of an archer\Gloves of the alchemist's flurry\This scroll
#SVGloves7 Units that die within 400 radius of the hero, with a 30% chance of turning into cave spiders, large units always turn into large cave spiders. Life duration of the spiders is 5 minutes. Units attacked by large spiders also turn into cave spiders after death.


\\ Spells
\\ 100
#SVMC_aFireControl.NAME Scroll\>Fire Control<\_________________\Components:\"Control" Spell\"Fire Aura" Spell\This scroll
#SVMC_aFireControl The enemy goes under the control of the hero for 20+0.5 sec. / level, the unit burns the opponents causing them 3 + 1/5 level. damage. The range of application is 350. Cool down - 40 sec.
#SVMC_aStatueControl.NAME Scroll\>Insult Control<\_________________\Components:\"Control" Spell\"Insult Statue" Spell"\This scroll
#SVMC_aStatueControl The enemy goes under the control of the hero for 20+0.5 sec. / level, provokes opponents around to attack him, as well as increases health +10 / level and armor +1 / 6 level. The range of application is 350. Cool down - 40 sec.
#SVMC_aArrowOfLife.NAME Scroll\>Arrow of Life<\_________________\Components:\"Ice Arrow" Spell\"Tree of Life" Spell\This scroll
#SVMC_aArrowOfLife ГThe hero fires an arrow at a speed of 900, which deals 2*damage (30 + 1 damage/2 lvl) to all enemies in its path. In the selected area, a magic tree also grows, which heals friendly warriors around it for 1+1 / 6 level. every second and slows down enemies by 70%. Range 550+10/level. Cool down - 25 sec.

\\ 300
#SVMC_aIllusion_S.NAME Scroll\>Summon an enhanced Illusion<\_________________\Components:\Spell "Summon Illusion"\This scroll
#SVMC_aIllusion_S Next to the chosen warrior, his illusion appears. The illusion is an exact copy of the original, except for the presence of abilities (damage from items and level is not taken into account). The duration of the illusion's life is 40 seconds. The range of application is 400. Cool down - 60 sec.
#SVMC_aIllusions.NAME Scroll\>Summoning Illusions<\_________________\Components:\Spell "Summon Illusion"\This scroll
#SVMC_aIllusions Around the hero appears 3+1/8lvl. illusions with 50% base damage (damage from items and level does not count). The duration of the life of illusions is 40 seconds. cool down - 60sec.
#SVMC_aPostponeDeath.NAME Scroll\>Postpone death<\_________________\Components:\"Death Trick" spell\This scroll

#SVMC_aPostponeDeath The allied target becomes invulnerable to any damage for 12 seconds, but dies at the end of the ability. The effect cannot be dispelled. Other invulnerability abilities cannot be applied to a unit under the influence of this spell. The range of application is 200. Cool down - 100 sec.

\\ 400
#SVMC_aDeceptionOfDeath.NAME Scroll\>Cheat death<\_________________\Components:\Spell "Postpone death"\Spell "Fear"\This scroll

#SVMC_aDeceptionOfDeath The allied target becomes invulnerable to any damage for 12 seconds, and when the ability ends, the target has 25 health points. At the end of the action, a 5-second fear effect is applied to the target. The effect cannot be dispelled. Other invulnerability abilities cannot be applied to a unit under the influence of this spell. The range of application is 200. Cool down - 100 sec.
#SVMC_aSpiritOfBattle.NAME Scroll\>Battle Spirit<\_________________\Components:\Spell "Berserk"\Spell "Squall"\This scroll
#SVMC_aSpiritOfBattle Summoned units and illusions in area 210 receive +40% damage, 25% attack speed, and 25% movement speed for 30 seconds. Does not apply to units under the effect of the spell "Berserk" and "Spirit of War" Range - 600. Cool down - 30 sec.
#SVMC_aSpiritOfWar.NAME Scroll\>Spirit of War<\_________________\\Components:\"Battle Spirit" Spell\"Battle Spirit" Spell\Spell "Berserk"\This scroll
#SVMC_aSpiritOfWar Summoned units and illusions in area 420 receive +140% damage, 60% attack speed, and 50% movement speed for 30 seconds. Does not apply to units under the effect of the spell "Berserk" and "Battle Spirit". The range of application is 600. Cool down - 30 sec.

\\ 1300
#SVMC_aHPolymorph.NAME Scroll\>Higher Polymorph<\_________________\Components:\Spell "Polymorph"\This scroll\
#SVMC_aHPolymorph In the selected area (radius 500), all enemy heroes turn into boars for 32 seconds (can't attack and use abilities, health 4000, speed 80), while you turn into a dragon for 80 seconds (health 3950+50 / level, damage 11+1/2ur, speed 70, attack speed 44, attack radius 400). The dragon effect cannot be removed. Bonuses from items are valid during the transformation. Disables health and mana regeneration. Passive: You can't be turned into a boar with a normal polymorph. You can't transform into a dragon with a normal polymorph. The range of application is 500. Cool down - 160 sec.


\\ Bows(Rangers)(8)

#Weapon4R Scroll\>Whalebone<\_________________\Components:\Weapons Elven Yew Bow\Weapons Elven Yew Bow\This scroll
#Weapon5R Scroll\ > Pathfinder's Bow<\_________________\Components:\Ancient Bow Weapon + Ancient Bow Weapon"\This scroll
#Weapon6R Scroll\ > Sniper Bow<\_________________\Components:\Whalebone Weapon + Whalebone Weapon"\This scroll
#Weapon7R Scroll\>Messenger of Death<\_________________\Components:\Ranger's Bow Weapon + Ranger's Bow Weapon This scroll\_________________\Attack Modifier:\Your attacks with a 50% chance deal damage twice.
#Weapon8R Scroll\>Enchanted Wind<\_________________\Components:\Weapons "Sniper's Bow" or " Messenger of Death"\Weapons "Sniper's Bow" or " Messenger of Death"\This scroll\_________________\Attack Modifier:\Your attacks with a 50% chance deal damage twice.\_________________\Attack Modifier:\Your attacks slow down your movement speed (10%) and attack speed (5%) by 5 seconds. within a radius of 20. The effects add up. Reduces the projectile's flight speed from 1800 to 1100.

\\ Spears(Amazonia)(8)

#DruHamaWeaponMelee4R Scroll\ > Spear tree of man<\_________________\Components:\Dead Tree Spear Weapon + Dead Tree Spear Weapon This scroll
#DruHamaWeaponMelee5R Scroll\ > Amazon Spear<\_________________\Components:\Weapon "Infantry Spear" + Weapon "Infantry Spear" This scroll
#DruHamaWeaponMelee6R Scroll\>Enchanted Spear<\_________________\Components:\Amazon Spear Weapon + Amazon Spear Weapon"\This scroll
#DruHamaWeaponMelee7R Scroll\ > Lightning<\_________________\Components:\Weapon "Ent's spear" + Weapon "Ent's spear" This scroll
#DruHamaWeaponMelee8R Scroll\>Seal-ring of fate<\_________________\Components:\Weapons "Enchanted Spear" or "Lightning" Weapons "Enchanted Spear" or " Lightning"\This scroll\_________________\Attack Modifier:\Attacks with Seal-ring of fate with a 20% chance impose root for 0.8 sec + 0.032 sec/ur. During immobility units lose 60% of their defense against magic.

\\ Staffs(Druid)(8)

#DruStaffWeapon4R Scroll\>Staff the tree of man<\_________________\Components:\Willow Staff Weapon + Willow Staff Weapon"\This scroll
#DruStaffWeapon5R Scroll\>Druid's Staff<\_________________\Components:\Ash Staff Weapon + Ash Staff Weapon"\This scroll
#DruStaffWeapon6R Scroll\>The Staff of the Elements<\_________________\Components:\Weapon "Staff tree of Man" + Weapon "Staff Tree of Man" This scroll
#DruStaffWeapon7R Scroll\>Spirit Staff<\_________________\Components:\Druid's Staff Weapon + Druid's Staff Weapon"\This scroll
#DruStaffWeapon8R Scroll\ > Power of the Forest<\_________________\Components:\Weapon "Staff of elements" or "Staff of spirits" + Weapon "Staff of elements" or " Staff of spirits"\This scroll\_________________\Attack Modifier:\An opponent attacked by a druid becomes weaker (-6 magic defense, -2 attack, -15% movement speed). The effect lasts for 4 seconds. The effects add up.

\\ Braids(Death Knight)(8)

#UndScytheWeapon4R Scroll\>Black Braid<\_________________\Components:\Dead Man's Sickle Weapon + Dead Man's Sickle Weapon This scroll
#UndScytheWeapon5R Scroll\>Demon Language<\_________________\Components:\The Naginata Weapon"\The Naginata Weapon"\This scroll
#UndScytheWeapon6R Scroll\>Madman's Scythe<\_________________\Components:\Black Scythe Weapon + Black Scythe Weapon"\This scroll
#UndScytheWeapon7R The Scroll\>Naginata of Rage<\_________________\Components:\Demon Language Weapon + Demon Language Weapon"\This scroll
#UndScytheWeapon8R Scroll\>Reaper<\_________________\Components:\Weapon "Madman's Scythe" or "Rage Naginata""\Weapon "Madman's Scythe" or "Rage Naginata""\This scroll\_________________\Attack Modifier:\"Reaper" attacks absorb all of the target's health regeneration for 16 seconds. "Reaper" gives the Death Knight one charge for each attack that increases health regeneration (+12) for 16 seconds.The effects add up. The effect on the Death Knight cannot be dispelled.  Death Mask does not disable regeneration from Reaper's Gift.

\\ Claws(Vampiress)(8)

#UndClawsWeapon4R Scroll\ > Poison Claws<\_________________\Components:\Bear Claws Weapon + Bear Claws Weapon"\This scroll\_________________\Attack Modifier:\Your attacks poison the target, dealing intermittent damage and slowing it down by 20%. The effects add up.
#UndClawsWeapon5R Scroll\>Manticore Claws<\_________________\Components:\Werewolf Claws Weapon + Werewolf Claws Weapon"\This scroll
#UndClawsWeapon6R Scroll\ > Demon Claws<\_________________\Components:\Manticore Claws Weapon + Manticore Claws Weapon This scroll
#UndClawsWeapon7R The Scroll\>Dragon claws<\_________________\Components:\Poison Claws Weapon + Poison Claws Weapon"\This scroll
#UndClawsWeapon8R Scroll\>Embrace of Death<\_________________\Components:\Weapons "Demon Claws" or " Dragon Claws"\Weapon "Demon Claws" or "Dragon Claws" This scroll\_________________\Attack Modifier:\Increases the damage area radius by 20. \ Your attacks have a 30% chance to stun targets for 1 second.\Vampirism: 10% of the damage done by the hero is added to his health.

\\ Wands(Lich)(8)

#UndRodWeapon4R Scroll\>Rune Wand<\_________________\Components:\Weapon "Necromancer's Rod" + Weapon "Necromancer's Rod" This scroll
#UndRodWeapon5R Scroll\>Obsidian Wand<\_________________\Components:\Skull Wand Weapon + Skull Wand Weapon"\This scroll
#UndRodWeapon6R The Scroll\>Dragon Wand<\_________________\Components:\Weapons " Rune Wand"\Weapons " Rune Wand"\This scroll
#UndRodWeapon7R Whistle\>Rod of Wrath<\_________________\Components:\Weapon " Obsidian Wand"\Weapon " Obsidian Wand"\This scroll
#UndRodWeapon8R The whistle\> Pestilence<\_________________\Components:\Dragon Rod or Wrath Rod Weapon + Dragon Rod or Wrath Rod Weapon"\This scroll\_________________\Attack Modifier:\Your attacks with a 25% chance infect the disease for 5 seconds, causing the target to slow down by 80% and take 4 damage every 0.25 seconds, Every second the disease spreads to the other two units with a 25% chance.

#IceHArcWeapon4R Scroll\>Wizard's Staff<\_________________\Components:\Weapon "Novice Staff" + Weapon "Novice Staff" + This scroll
#IceHArcWeapon5R Scroll\>Wizard's Staff<\_________________\Components:\Weapon "Shaman's Staff" + Weapon " Shaman's Staff"\This scroll
#IceHArcWeapon6R Scroll\>Mage's Staff<\_________________\Components:\Wizard's Staff Weapon + Wizard's Staff Weapon + This Scroll
#IceHArcWeapon7R Scroll\>Warlock's Staff<\_________________\Components:\Wizard's Staff Weapon + Wizard's Staff Weapon"\This scroll
#IceHArcWeapon8R Scroll\>Archmage's Staff<\_________________\Components:\Weapon "Mage's Staff" or "Warlock's Staff" + Weapon "Mage's Staff" or "Warlock's Staff" + This scroll\_________________\Attack Modifier:\Your attacks slow down your movement speed (15%) and attack speed (15%) by 5 seconds. within a radius of 70. The effects add up. Increases the projectile's flight speed from 500 to 700

#IceHBarWeapon4R Scroll\>Enchanted Swords<\_________________\Components:\Weapons "Short Swords" + Weapons " Short Swords"\This scroll
#IceHBarWeapon5R Scroll\>Chief's Blades<\_________________\Components:\Weapons " Slashers"\Weapons " Slashers"\This scroll
#IceHBarWeapon6R Scroll\ > Blades of the Night<\_________________\Components:\Weapons " Enchanted Swords"\Weapons " Enchanted Swords"\This scroll
#IceHBarWeapon7R Scroll\>Blood Brothers<\_________________\Components:\Weapons "Blades of the leader" + Weapons " Blades of the Leader"\This scroll\_________________\Vampirism: 10% of the damage done by the hero is added to his health.
#IceHBarWeapon8R Scroll\ > Swords of Madness<\_________________\Components:\Weapons "Blades of the Night "or" Blood Brothers "+ Weapons "Blades of the Night" or " Blood brothers"\This scroll\_________________\Attack Modifier:\Each attack increases the barbarian's damage (by 6) and attack speed (by 2%). The duration of a single charge is 13 seconds. The effect adds up. The effect cannot be dispelled.

#IceHValWeapon4R Scroll\>Thunderstorm<\_________________\Components:\Grad weapons"\Grad weapons"\This scroll
#IceHValWeapon5R Scroll\>Hurricane<\_________________\Components:\Weapons " Night"\Weapons " Night"\This scroll
#IceHValWeapon6R Scroll\ > Tornado<\_________________\Components:\Weapons " Hurricane"\Weapons " Hurricane"\This scroll
#IceHValWeapon7R The Scroll\>Storm<\_________________\Components:\Weapons " Thunderstorm"\Weapons " Thunderstorm"\This scroll
#IceHValWeapon8R Scroll\ > Lightning<\_________________\Components:\Weapon "Storm " or" Tornado "+ Weapon "Storm" or " Tornado"\This scroll\_________________\Attack Modifier:\Your attacks summon lightning that hits a single target and deals 1/3level pure damage.

#MecHArtWeapon4R Scroll\ > Master's Hammer<\_________________\Components:\Weapon "Battle Hammer" + Weapon " Battle Hammer"\This scroll
#MecHArtWeapon5R Scroll\>Giant's Hammer<\_________________\Components:\Sledgehammer Weapon + Sledgehammer Weapon"\This scroll
#MecHArtWeapon6R Scroll\>Thunderbolt<\_________________\Components:\Master's Hammer Weapon + Master's Hammer Weapon"\This scroll
#MecHArtWeapon7R Scroll\>Technomolot<\_________________\Components:\Giant's Hammer Weapon + Giant's Hammer Weapon"\This scroll\_________________\Attack Modifier:\Your attacks stun targets for 1 second. with a 30% chance.
#MecHArtWeapon8R Scroll\ >Hammer of the Foothill Kings<\_________________\Components:\Weapons "Thunderbolt" or "Technomolot" + Weapons "Thunderbolt" or " Technomolot"\This scroll\_________________\Attack Modifier:\Your attacks increase crushing damage by 5 (lasts 18 seconds, cannot be dispelled) and reduce opponents' defense against crushing damage by 5 (lasts 18 seconds, can be dispelled).

#MecHEnfWeapon4R Scroll\ > Sniper Musket<\_________________\Components:\Weapon "Fashion Musket" + Weapons " Fashion Musket"\This scroll
#MecHEnfWeapon5R Scroll\ > Fashion Musket<\_________________\Components:\Weapon "Hunting Musket" + Weapons " Hunting musket"\This scroll
#MecHEnfWeapon6R Scroll\>Hand Cannon (Ranged only)<\_________________\Components:\"Machine Gun" weapon + Weapons " Machine Gun"\This scroll\_________________\Attack Modifier:\ Replaces the projectile of the shot with a core flying at a speed of 600. Your shots deal damage within a radius of 60.
#MecHEnfWeapon7R Scroll\>Machine Gun (Ranged only)<\_________________\Components:\Weapons "Old Musket" + Weapons "Old Musket"\This scroll
#MecHEnfWeapon8R Scroll\>Mechanus Musket<\_________________\Components:\Weapons "Hand cannon" or "Machine Gun" + Weapons "Hand cannon" or " Machine gun"\This scroll\_________________\Attack Modifier:\ Replaces the projectile of the shot with a core flying at a speed of 1500. Your shots deal damage within a radius of 50.

#MecHGeoWeapon4R Scroll\ > Silver Scepter<\_________________\Components:\Bronze Scepter Weapon + Bronze Scepter Weapon"\This scroll
#MecHGeoWeapon5R Scroll\ > Golden Scepter<\_________________\Components:\Iron Scepter Weapon + Iron Scepter Weapon"\This scroll
#MecHGeoWeapon6R Scroll\>Ruby Scepter<\_________________\Components:\Golden Scepter Weapon + Golden Scepter Weapon"\This scroll
#MecHGeoWeapon7R Scroll\>Emerald Scepter<\_________________\Components:\Silver Scepter Weapon + Silver Scepter Weapon"\This scroll\_________________\Attack Modifier:\Your attacks poison the target, dealing intermittent damage and slowing it down by 20%. The effects add up.
#MecHGeoWeapon8R Scroll\>Mithril Scepter<\_________________\Components:\Weapons "Ruby Scepter" or "Emerald Scepter" + Weapons "Ruby Scepter" or " Emerald Scepter"\This scroll\_________________\Attack Modifier:\Your attacks have a 20% chance of stunning your opponents for 2 seconds. Increases the projectile's flight speed from 500 to 700

\\ Rods(Flame Master)

#SolHPyrWeapon4R Scroll\>Moonlight<\_________________\Components:\Weapon "Ray Rod" + Weapon " Ray Rod"\This scroll
#SolHPyrWeapon5R Scroll\>Sun Wand<\_________________\Components:\Weapon "Battle Rod" + Weapon " Battle Rod"\This scroll
#SolHPyrWeapon6R Scroll\>Fire Five-pronger<\_________________\Components:\Sun Rod Weapon + Sun Rod Weapon"\This scroll
#SolHPyrWeapon7R Whistle\>Wand of the Dead<\_________________\Components:\Moonlight Weapon + Moonlight Weapon"\This scroll
#SolHPyrWeapon8R Scroll\ > Caduceus<\_________________\Components:\Weapon "Fire Five-prong" or "Wand of the Dead" + Weapon "Fire Five-prong" or " Wand of the Dead"\This scroll\_________________\Attack Modifier:\Caduceus attacks reduce the target's regeneration (-2) and defense against magic (-4), if the target is undead or demon forces, their attack power is further reduced (-2). The duration of the effect is 20 seconds.\_________________\Attack Modifier:\Caduceus attacks increase the owner's regeneration (+2) and magic protection (+4). The duration of the effect is 20 seconds.

\\ Staffs(High Priest)

#SolHArcWeapon4R Scroll\>Blood Soul<\_________________\Components:\Wandering Soul Weapon + Wandering Soul Weapon"\This scroll\_________________\Vampirism: 10% of the damage done by the hero is added to his health.
#SolHArcWeapon5R Scroll\>Staff of the All-seeing Sun <\_________________\Components:\Fire Lash Weapon + Fire Lash Weapon"\This scroll
#SolHArcWeapon6R Scroll\>Staff of Blue Flame<\_________________\Components:\Weapon "Staff of the All-seeing Sun "+ Weapon "Staff of the All-seeing Sun" This scroll
#SolHArcWeapon7R Scroll\>Staff of Fiery Darkness<\_________________\Components:\Blood Soul Weapon + Blood Soul Weapon"\This scroll\_________________\Vampirism: 10% of the damage done by the hero is added to his health.
#SolHArcWeapon8R Scroll\>Fire Runner<\_________________\Components:\Weapon "Staff of Blue Flame" or "Staff of Fiery Darkness" + Weapon "Staff of Blue Flame" or "Staff of Fiery Darkness" + This scroll\_________________\Attack Modifier:\Your attacks with a 20% chance cause your opponents to get scared and run away with increased speed (+30%) for 1.5 seconds.

\\ Morgensterns (Gladiator)

#SolHGlaWeapon4R Scroll\>Double Threat<\_________________\Components:\Weapon "Battle Morgenstern" + Weapon "Battle Morgenstern" + This scroll
#SolHGlaWeapon5R Scroll\>The Lash of Pain<\_________________\Components:\Weapon "Sun Glare" + Weapon " Sun Glare"\This scroll
#SolHGlaWeapon6R Scroll\>Spiked Skull<\_________________\Components:\Double Threat Weapon + Double Threat Weapon"\This scroll
#SolHGlaWeapon7R Scroll\>Fiery Death<\_________________\Components:\Weapon "Lash of Pain" + Weapon " Lash of Pain"\This scroll
#SolHGlaWeapon8R Scroll\>Crusher<\_________________\Components:\Fire Death or Spiked Skull Weapon + Fire Death or Spiked Skull Weapon + This Scroll\_________________\Attack Modifier:\Your attacks damage the physical armor of the targets: -100% protection against piercing, crushing and slashing, the duration of the effect is 22 seconds.
